"Day","Users","Average.Minutes.In.Game","Users.Class.Druid","Users.Class.Hunter","Users.Class.Mage","Users.Class.Paladin","Users.Class.Priest","Users.Class.Rogue","Users.Class.Shaman","Users.Class.Warlock","Users.Class.Warrior","Users.Class.Death Knight","Users.Race.Blood Elf","Users.Race.Orc","Users.Race.Tauren","Users.Race.Troll","Users.Race.Undead"
"10/19/2008",1888,161.599576271186,138,290,246,186,189,215,137,233,254,NA,659,221,337,273,398
"10/20/2008",1585,123.804416403785,122,234,211,162,160,178,130,178,212,NA,545,181,309,225,326
"10/21/2008",1564,122.340153452685,133,229,211,150,160,155,123,191,213,NA,550,166,330,186,332
"10/22/2008",1569,123.384321223709,128,235,209,149,164,156,120,184,224,NA,564,191,307,193,314
"10/23/2008",1078,50.4916512059369,88,164,133,86,98,101,107,114,187,NA,295,175,224,165,219
"10/24/2008",1970,117.984771573604,170,315,235,200,187,196,164,234,269,NA,613,238,419,265,435
"10/25/2008",2119,156.271826333176,175,341,273,238,199,223,159,246,269,NA,733,228,440,262,459
"10/26/2008",2137,165.99438465138,182,335,279,235,216,206,149,265,270,NA,741,217,431,268,480
"10/27/2008",1860,135.483870967742,162,295,256,194,178,186,137,238,214,NA,632,177,391,236,424
"10/28/2008",1754,116.18015963512,155,281,233,184,182,159,127,213,220,NA,594,187,365,207,401
"10/29/2008",1676,107.935560859189,158,251,227,184,175,149,127,206,199,NA,550,174,373,201,378
"10/30/2008",1590,102.245283018868,153,244,200,181,161,154,119,181,197,NA,523,167,355,199,346
"10/31/2008",1709,121.977764774722,157,260,224,202,155,168,140,198,205,NA,581,172,370,209,377
"11/01/2008",1892,123.488372093023,178,302,232,223,178,194,149,202,235,NA,594,205,416,234,443
"11/02/2008",1964,130.310590631365,170,302,239,216,176,200,164,215,282,NA,605,212,420,281,447
"11/03/2008",1645,98.9969604863222,152,243,200,193,157,157,140,178,225,NA,485,189,360,235,376
"11/04/2008",1615,108.123839009288,139,249,210,180,169,150,131,176,211,NA,509,172,347,216,372
"11/05/2008",1587,93.3648393194707,128,256,198,185,162,146,119,189,204,NA,540,175,316,207,349
"11/06/2008",1366,78.9824304538799,118,202,185,175,130,122,95,160,179,NA,470,142,285,147,322
"11/07/2008",1623,99.1866913123845,138,262,212,188,156,160,106,196,205,NA,575,170,336,193,349
"11/08/2008",1908,115.031446540881,161,308,239,211,185,183,154,232,235,NA,647,214,387,246,414
"11/09/2008",1891,119.476467477525,161,287,271,205,179,191,137,226,234,NA,654,192,385,222,438
"11/10/2008",1711,90.3682057276446,151,285,234,174,157,163,123,195,231,NA,583,190,344,236,358
"11/11/2008",1598,92.4217772215269,133,255,205,174,152,153,130,187,210,NA,552,178,328,197,344
"11/12/2008",1594,97.4466750313676,114,249,223,179,152,160,116,194,208,NA,562,175,302,198,359
"11/13/2008",1459,85.0993831391364,113,230,199,171,148,133,107,177,182,NA,515,147,306,158,334
"11/14/2008",1514,88.0184940554822,134,237,208,174,141,155,107,163,195,NA,536,144,319,178,337
"11/15/2008",1820,109.395604395604,148,298,237,216,175,178,135,202,231,NA,623,194,364,225,414
"11/16/2008",1933,111.577858251423,155,292,265,236,180,187,131,235,252,NA,678,198,378,261,418
"11/17/2008",1651,88.7825560266505,128,261,224,205,159,149,123,198,208,NA,585,179,320,206,364
"11/18/2008",569,43.9191564147627,41,79,70,79,61,48,53,80,58,NA,211,60,107,69,122
"11/19/2008",1558,111.540436456996,91,177,175,128,115,99,82,132,161,403,614,175,313,141,318
"11/20/2008",1640,90.4024390243902,90,190,177,132,115,106,80,145,157,448,653,162,317,158,353
"11/21/2008",1910,128.120418848168,109,235,195,149,140,134,91,183,182,497,782,196,337,193,407
"11/22/2008",2033,150.467289719626,118,243,232,165,154,136,102,188,185,510,829,213,373,208,412
"11/23/2008",2507,140.522536896689,153,289,276,216,204,171,134,244,226,599,1041,255,453,247,515
"11/24/2008",1983,131.628845184065,119,229,212,145,174,135,99,209,212,449,783,197,372,205,429
"11/25/2008",1862,128.668098818475,105,201,231,156,144,124,100,199,183,420,760,178,337,180,409
"11/26/2008",1761,111.68086314594,104,194,213,148,149,112,103,184,168,387,723,180,329,156,374
"11/27/2008",1492,86.5817694369973,83,183,166,128,129,102,79,149,126,347,616,155,276,131,314
"11/28/2008",1877,134.954714970698,110,221,229,153,158,131,96,189,173,417,766,182,358,163,408
"11/29/2008",2160,133.990740740741,121,271,238,178,171,134,140,223,215,470,843,265,406,218,430
"11/30/2008",2119,161.618688060406,117,266,248,176,185,155,110,209,191,462,854,212,386,232,437
"12/01/2008",1855,131.320754716981,113,235,205,144,169,135,101,181,168,405,723,185,351,186,411
"12/02/2008",1846,130.807150595883,106,228,237,146,158,142,105,187,163,375,700,186,345,187,429
"12/03/2008",1838,119.30359085963,110,236,232,157,149,128,118,174,163,372,711,187,345,204,391
"12/04/2008",1736,101.658986175115,102,223,206,140,150,125,95,170,165,361,680,176,329,179,373
"12/05/2008",1719,117.847585805701,110,213,189,158,148,103,99,169,160,370,685,172,342,162,359
"12/06/2008",2139,157.185600748013,148,281,225,174,187,157,132,203,206,428,819,221,425,233,441
"12/07/2008",2186,159.560841720037,135,291,243,179,195,161,125,216,214,427,846,216,415,242,467
"12/08/2008",1811,115.069022639426,121,247,193,136,168,139,91,166,187,364,683,183,360,197,389
"12/09/2008",1651,111.350696547547,115,216,172,139,156,114,84,160,172,325,637,174,315,166,359
"12/10/2008",1769,130.8027133974,124,223,198,147,165,131,95,180,176,331,703,178,332,188,370
"12/11/2008",1690,121.289940828402,111,219,188,139,152,135,89,174,166,319,656,164,322,182,368
"12/12/2008",1863,129.855072463768,125,253,206,158,171,120,93,190,190,358,726,174,368,202,394
"12/13/2008",2044,157.22602739726,116,255,235,189,188,158,119,206,210,369,801,214,370,216,445
"12/14/2008",2092,159.34034416826,148,270,220,183,187,155,110,210,219,390,819,211,403,226,434
"12/15/2008",1862,127.303974221267,127,234,209,169,170,127,105,187,192,342,738,185,358,186,395
"12/16/2008",1871,129.812934259754,115,237,212,173,180,130,114,191,179,340,738,189,353,198,393
"12/17/2008",1897,132.999472851871,130,247,207,185,170,139,114,182,192,332,749,194,374,209,372
"12/18/2008",1723,118.845037724898,110,218,197,154,169,121,104,174,162,314,676,165,350,166,366
"12/19/2008",1878,133.045793397231,119,241,228,156,174,139,112,194,186,329,715,180,372,198,415
"12/20/2008",1995,144.611528822055,132,268,227,188,182,135,112,193,192,366,794,205,389,217,390
"12/21/2008",1886,118.700954400848,130,269,209,176,159,120,106,201,189,327,732,182,383,197,393
"12/22/2008",1802,113.435072142064,124,233,206,167,173,122,110,180,176,313,678,179,368,182,397
"12/23/2008",1824,131.672149122807,122,234,210,156,178,131,98,184,196,316,696,177,355,199,398
"12/24/2008",1810,130.762430939227,116,244,194,159,172,135,110,181,173,326,699,182,341,194,394
"12/25/2008",1763,112.728304027226,127,244,200,142,172,123,102,180,155,319,681,187,352,185,358
"12/26/2008",1888,126.212923728814,127,257,219,175,183,138,103,188,177,321,734,189,363,201,401
"12/27/2008",2075,153.397590361446,139,292,229,175,184,159,130,205,220,342,781,216,413,226,439
"12/28/2008",2084,157.975047984645,131,283,252,185,200,155,117,202,208,352,810,191,396,244,443
"12/29/2008",1873,127.554725040043,137,238,214,171,183,142,109,176,185,318,710,182,375,199,408
"12/30/2008",1894,130.44878563886,132,241,208,184,190,145,116,177,176,325,750,174,376,195,399
"12/31/2008",1809,123.996683250415,122,238,202,164,177,143,105,176,173,309,692,186,347,197,387
